Open,High,Low,Close,Volume
74768.38,75407.1,74200.01,74252.57,7948.700471
74252.56,74659.99,72727.0,73370.89,7177.23414
73370.89,73539.53,72656.31,73456.04,5507.09957
73456.05,74083.01,73456.04,73756.34,3452.56869
73756.35,73944.27,73314.85,73830.01,2489.42033
73830.01,74475.47,73657.27,74272.01,2541.3039
74272.0,74757.58,74166.21,74171.47,2353.66921
74171.48,74271.99,73585.78,73987.05,2265.58654
73987.06,74736.03,73488.0,73640.0,5206.19674
73639.99,74499.0,73514.0,74298.0,4154.59288
74297.99,74566.99,74150.0,74333.99,2437.22494
74333.99,74666.0,74151.52,74452.01,1976.24321
74452.0,75230.0,74404.57,75229.99,3088.9053
75229.99,75850.0,75037.87,75823.55,3998.017622
75823.55,76400.0,75507.1,76101.99,4735.947457
76101.98,76170.13,75658.2,75890.0,2060.40775
75890.0,76035.5,75519.94,75638.49,1348.01515
75638.5,75837.47,75552.78,75571.99,1015.70054
75571.99,75643.64,75050.0,75349.08,1516.93383
75349.07,76022.79,75228.0,75386.0,2770.57793
75386.0,75458.0,75141.51,75276.01,1461.71324
75276.01,75392.67,75003.83,75048.01,1421.02719
75048.01,75048.01,74611.5,74707.34,2079.7949
74707.34,74889.5,74670.0,74755.49,891.77676
74755.49,74831.07,74416.0,74768.27,1407.37166
74768.28,74964.87,74673.67,74757.58,1056.17171
74757.58,75150.0,74649.54,75150.0,1308.84009
75149.99,75150.11,74809.63,74916.76,698.93967
74916.76,75040.0,74766.0,75031.2,919.92356
75031.2,75043.5,74691.74,74746.0,838.72131
74745.99,75118.0,74726.0,74991.88,662.91433
74991.88,75038.0,74601.63,74672.53,918.6513
74672.54,75000.0,74512.19,74822.0,2268.50726
74822.0,76059.69,74675.05,76059.69,3749.87711
76059.68,76200.0,75555.17,75893.99,3155.37329
75893.98,76466.48,75739.9,76257.89,3177.19993
76257.9,76718.99,75671.09,76604.01,4375.304665
76604.0,76612.0,75906.56,76530.39,3142.40554
76530.4,76849.99,76268.52,76431.48,3091.90956
76431.49,76572.0,75860.0,75876.49,1454.73559
75876.49,75984.0,75494.0,75872.0,1284.07366
75872.0,76079.8,75700.0,75857.89,1216.67826
75857.89,76358.0,75844.99,76005.25,1567.30594
76005.24,76329.63,75832.14,75983.91,1139.43516
75983.91,76020.0,75652.65,75711.14,709.19516
75711.15,75890.8,75555.0,75890.79,1000.64121
75890.79,76026.0,75808.04,75832.14,693.63204
75832.13,76139.83,75800.0,75975.32,1058.29765
75975.32,76012.82,75830.0,75876.0,596.39265
75876.0,76220.0,75686.0,76148.49,2653.0389
76148.49,76164.0,75760.0,75802.0,1075.30347
75802.0,76073.78,75777.16,75947.69,771.79192
75947.68,76320.0,75780.7,76229.98,768.15953
76229.97,76284.6,75924.0,75934.46,705.99368
75934.47,76172.0,75934.46,76067.55,799.12641
76067.56,76279.71,75846.09,76268.13,1261.44788
76268.13,76309.13,75630.76,75752.0,3024.76051
75752.01,76584.6,75636.36,76427.72,4176.02729
76427.72,76514.99,75834.0,75919.3,2102.02572
75919.3,76522.0,75822.07,76385.99,1917.72706
76386.0,76999.0,76342.0,76812.0,2615.86905
76812.0,77199.99,76699.05,76912.58,2811.241873
76912.58,77097.0,76414.63,76591.33,2711.01365
76591.33,76695.99,76379.36,76483.09,1104.62036
76483.08,76622.7,76303.03,76369.12,670.14814
76369.13,76530.03,76300.23,76509.78,587.90433
76509.78,76639.84,76363.63,76430.0,810.03501
76430.0,76541.65,76256.0,76310.0,583.19381
76310.0,76430.44,76136.0,76422.98,669.81557
76422.97,76440.0,76240.08,76341.47,435.25274
76341.47,76406.12,76294.0,76377.99,329.62583
76377.99,76657.13,76358.6,76552.0,786.14324
76552.0,76795.69,76408.01,76510.0,1049.87565
76510.01,76529.08,76354.0,76529.08,659.23843
76529.07,76735.59,76436.0,76539.99,538.80074
76539.99,76636.37,76506.9,76554.0,522.33266
76554.0,76620.0,76415.89,76468.01,520.41883
76468.01,76511.78,76358.91,76487.11,375.0953
76487.11,76541.53,76280.0,76280.27,619.2326
76280.26,76495.77,76280.26,76426.39,881.68891
76426.4,76440.82,76272.72,76355.61,656.57304
76355.61,76416.52,76300.0,76319.9,418.84313
76319.91,76324.84,76058.0,76087.18,1200.70717
76087.19,76238.77,75714.66,76238.77,978.18075
76238.77,76387.19,76198.0,76356.53,530.21491
76356.53,76700.0,76116.0,76204.92,1249.58091
76204.91,76360.0,76179.0,76294.0,334.34498
76293.99,76486.0,76227.52,76451.6,408.62709
76451.61,76606.34,76365.25,76519.9,610.63157
76519.9,76900.0,76474.0,76677.46,1773.62628
76677.46,77100.0,76492.0,76884.01,1848.55068
76884.01,76964.0,76679.36,76702.31,853.09775
76702.31,77498.0,76661.4,77033.99,2512.978465
77033.99,77426.68,76985.43,77205.96,1022.83807
77205.97,79323.74,77138.0,79122.02,5557.680713
79122.02,79788.96,78803.38,79064.16,6049.423179
79064.16,79249.97,78612.0,78903.42,2379.84718
78903.42,79148.94,78743.98,78832.37,1574.77443
78832.36,79137.83,78832.36,79130.1,1049.78994
79130.09,79494.67,79122.0,79368.0,1290.33391
79367.99,79769.88,79280.0,79540.74,1738.33669
79540.75,80040.0,79540.74,79844.01,3281.095532
79844.0,80080.0,79268.15,79654.0,3270.28363
79654.0,79899.9,79540.0,79728.01,1458.86412
79728.01,79960.0,79200.0,79508.01,2759.50281
79508.0,79758.88,79379.9,79694.03,1527.98427
79694.03,79782.29,79486.01,79775.99,1313.89455
79776.0,80703.1,79648.0,80333.01,3087.363909
80333.01,81069.99,80333.01,80538.04,3698.355042
80538.04,80845.19,79324.59,79748.99,3215.15386
79748.99,79907.66,78940.77,78950.01,3517.83206
78950.0,80004.09,78473.13,79873.97,2794.88034
79873.98,81500.0,79788.01,80614.01,3744.267365
80614.0,80700.0,79945.23,80370.01,2282.97194
80370.01,80803.0,80216.01,80579.99,1518.19751
80579.99,81730.0,80366.02,81214.0,2744.964827
81213.99,81519.19,81032.0,81431.17,1858.44676
81431.18,81846.71,80946.0,81612.23,1745.189105
81612.23,81727.47,81116.53,81440.01,1226.04186
81440.01,81581.65,80432.0,80731.99,1681.12781
80731.99,81250.0,80590.98,80900.68,1864.06524
80900.68,81205.99,80747.58,81109.1,1247.61687
81109.11,81368.0,81023.29,81239.53,1638.37211
81239.52,81766.56,81166.0,81695.33,1888.89563
81695.34,82380.94,81668.73,81984.19,3031.716611
81984.19,82244.67,81842.01,82134.0,1487.64111
82133.99,82471.2,81719.21,82168.91,2599.32275
82168.92,82222.13,81460.19,81835.74,2377.53515
81835.73,82580.0,81500.01,82484.9,4581.23065
82484.91,84263.51,82349.98,84059.54,7999.973626
84059.53,84886.0,83831.84,84200.0,5612.391808
84200.0,84880.03,84196.41,84603.99,3245.90107
84603.99,85832.65,84208.77,85831.99,4435.91296
85831.99,86650.0,85314.0,86102.21,5977.449496
86102.21,87386.5,86052.0,86922.65,5360.195673
86922.66,88378.0,86703.0,87900.01,5158.493199
87900.0,88083.47,86372.31,87979.28,4668.03984
87979.27,89530.54,87979.27,88647.99,8374.944111
88648.0,89012.23,86561.35,88978.57,6202.57596
88978.56,89470.0,88392.51,88542.51,5394.13548
88542.51,88876.0,86928.68,87694.53,4470.78293
87694.53,88206.93,87474.19,88047.46,3384.74149
88047.45,88983.93,87700.0,88430.57,2860.49173
88430.56,88798.93,88159.99,88378.46,2376.99375
88378.46,89800.0,88160.01,89545.46,3887.838018
89545.46,89940.0,88953.58,88983.35,4282.798713
88983.35,89300.0,88720.91,89280.01,3007.8098
89280.0,89372.0,87620.0,87630.89,4144.80325
87630.89,88023.66,85229.0,86787.51,9748.05049
86787.52,87860.75,86524.14,87155.55,4625.62881
87155.55,87860.0,86203.83,86348.01,4534.67447
86348.02,86521.95,85072.0,86330.52,6017.90626
86330.52,87074.53,85208.2,87001.51,4368.49084
87001.51,87493.37,86148.0,86632.0,4188.52066
86632.0,87600.0,85730.35,87030.31,4206.00567
87030.31,87878.0,86850.66,86966.07,2935.44402
86966.07,88877.36,86907.26,88796.41,3326.61216
88796.41,89764.38,88620.01,88704.28,4018.37248
88704.28,89876.94,88672.0,89473.1,3121.07877
89472.01,89683.65,88160.27,88240.32,2297.49275
88240.32,88642.0,87612.0,88592.0,1621.46359
88592.0,88592.0,87379.59,87952.01,2277.17582
87952.0,88453.16,87604.0,88040.0,2506.13719
88040.0,88562.94,87708.0,88253.53,2490.18284
88253.54,88320.0,87004.0,87868.0,2120.81586
87868.01,88150.0,87049.52,87136.0,2891.48301
87136.0,87692.69,86226.15,87172.01,3319.43657
87172.0,87436.67,86452.78,86545.99,1957.43138
86545.99,86950.54,86127.99,86500.0,1697.27156
86500.0,87492.3,86480.07,87356.0,2570.39211
87356.01,87684.0,87100.0,87228.68,1541.49195
87228.69,87550.0,87082.42,87400.02,1407.08338
87400.03,87553.64,87124.92,87535.55,1322.67388
87535.55,88083.0,87454.54,87669.39,1729.14636
87669.4,87997.2,87502.49,87626.96,1420.4566
87626.95,89696.97,87548.0,89152.01,5115.1089
89152.0,91827.09,88623.64,91508.0,10520.732134
91508.0,92690.0,90432.23,92540.01,8070.551849
92540.0,93265.64,91467.9,92256.0,8454.240224
92256.01,92803.0,91755.0,92218.87,3483.23126
92218.87,93139.93,92050.07,92824.0,3464.86045
92824.0,92892.98,89969.87,90193.51,7363.95202
90193.5,91184.02,89292.0,89691.99,5146.59132
89692.0,89796.21,87970.98,88539.77,4478.14358
88539.77,89854.27,88350.0,89715.12,1736.16108
89715.12,90518.89,89248.28,90375.2,1956.27862
90375.21,90511.63,89685.1,90104.93,1980.1319
90104.93,90444.0,89458.13,90372.01,2341.26104
90372.0,90566.0,89664.0,90104.01,1526.15424
90104.0,90220.0,89531.86,89937.02,1506.55837
89937.03,90192.35,89320.37,90123.99,1549.89871
90123.99,90123.99,89647.19,89957.22,1094.80806
89957.23,90308.83,89283.5,89300.69,1465.14038
89309.41,90850.0,89104.54,90769.42,2087.50442
90769.42,91438.41,90329.8,90558.28,2547.27054
90558.28,90918.18,90368.0,90909.01,1359.2503
90909.01,91424.0,90840.01,91103.0,1937.65192
91102.99,91657.77,90472.0,91491.86,2287.83266
91491.85,91599.99,90945.0,91243.17,1587.33383
91243.17,91380.0,90559.65,90754.42,2037.91332
90754.42,91790.0,88639.76,88720.03,5271.45761
88720.03,89638.5,87829.57,87947.99,6221.33894
87947.99,89239.79,87526.74,89198.31,3863.10102
89198.32,89449.49,88584.0,89239.35,1958.59519
89239.35,89775.24,88916.8,89111.55,1486.62454
89111.55,89664.19,89111.54,89463.99,1223.63851
89463.99,89464.0,87565.01,87612.66,3373.06448
87612.67,88280.91,87029.65,88227.22,3405.0167
88227.23,88360.0,87050.0,87640.01,1875.13133
