1731567600000,89309.41000000,90850.00000000,89104.54000000,90769.42000000,2087.50442000,1731571199999,187775443.47138500,321039,1164.67399000,104826797.58711700,0
1731571200000,90769.42000000,91438.41000000,90329.80000000,90558.28000000,2547.27054000,1731574799999,231722868.96559800,423556,1155.86527000,105151750.74574000,0
1731574800000,90558.28000000,90918.18000000,90368.00000000,90909.01000000,1359.25030000,1731578399999,123173910.99137700,346982,707.00209000,64072357.41864630,0
1731578400000,90909.01000000,91424.00000000,90840.01000000,91103.00000000,1937.65192000,1731581999999,176670405.17610500,479658,920.32429000,83903907.62679230,0
1731582000000,91102.99000000,91657.77000000,90472.00000000,91491.86000000,2287.83266000,1731585599999,208222750.41867100,617904,1173.48319000,106850653.36097500,0
1731585600000,91491.85000000,91599.99000000,90945.00000000,91243.17000000,1587.33383000,1731589199999,144892778.38171400,451170,734.14002000,67030079.86595520,0
1731589200000,91243.17000000,91380.00000000,90559.65000000,90754.42000000,2037.91332000,1731592799999,185330644.29055500,446427,800.67679000,72812100.50054690,0
1731592800000,90754.42000000,91790.00000000,88639.76000000,88720.03000000,5271.45761000,1731596399999,475169453.60704000,897010,2406.96396000,217274206.40745700,0
1731596400000,88720.03000000,89638.50000000,87829.57000000,87947.99000000,6221.33894000,1731599999999,551798297.38241800,1076245,2806.89051000,249030848.56367000,0
1731600000000,87947.99000000,89239.79000000,87526.74000000,89198.31000000,3863.10102000,1731603599999,341123434.60848700,602093,2118.87550000,187151306.55689000,0
1731603600000,89198.32000000,89449.49000000,88584.00000000,89239.35000000,1958.59519000,1731607199999,174343711.06975700,375311,1044.97023000,93046263.03325560,0
1731607200000,89239.35000000,89775.24000000,88916.80000000,89111.55000000,1486.62454000,1731610799999,132861094.99083800,316942,708.09434000,63295540.85593330,0
1731610800000,89111.55000000,89664.19000000,89111.54000000,89463.99000000,1223.63851000,1731614399999,109444690.51737400,243549,571.71726000,51136341.49492150,0
1731614400000,89463.99000000,89464.00000000,87565.01000000,87612.66000000,3373.06448000,1731617999999,297602000.71551400,512432,1621.33390000,143082540.63963800,0
1731618000000,87612.67000000,88280.91000000,87029.65000000,88227.22000000,3405.01670000,1731621599999,298865083.11304400,353953,1876.64692000,164766354.57591500,0
1731621600000,88227.23000000,88360.00000000,87050.00000000,87640.01000000,1875.13133000,1731625199999,164576028.38131000,203155,915.51650000,80357883.21137920,0
1731625200000,87640.01000000,87771.85000000,86668.21000000,87325.59000000,2742.83285000,1731628799999,239148084.65736200,303700,1283.26635000,111912613.62353500,0
1731628800000,87325.59000000,88435.16000000,87252.00000000,87870.27000000,2102.34838000,1731632399999,185018919.37511100,350707,1131.36746000,99561165.55480550,0
1731632400000,87870.26000000,88168.63000000,87373.45000000,88098.99000000,1707.79199000,1731635999999,150043659.51816100,322833,904.41090000,79462565.00607860,0
1731636000000,88098.99000000,88443.83000000,87736.00000000,88364.07000000,1227.36308000,1731639599999,108201722.54121400,277680,707.63115000,62392985.32591350,0
1731639600000,88364.07000000,88473.70000000,88116.00000000,88218.21000000,995.01845000,1731643199999,87840750.20582950,155896,515.92794000,45548663.42052580,0
1731643200000,88218.22000000,88242.43000000,87073.38000000,87454.57000000,2138.56254000,1731646799999,187248996.48296300,254005,980.48428000,85833264.55361590,0
1731646800000,87454.58000000,87860.46000000,87276.01000000,87724.00000000,1229.77864000,1731650399999,107769072.27815700,232091,625.48791000,54817218.15079060,0
1731650400000,87724.00000000,88182.69000000,87584.20000000,88182.67000000,1425.90985000,1731653999999,125386775.28671100,191716,805.46197000,70838756.50692090,0
1731654000000,88182.68000000,88391.99000000,87588.00000000,87612.00000000,2089.72502000,1731657599999,183843850.73010400,175532,837.76668000,73735954.99494430,0
1731657600000,87612.01000000,88165.91000000,87368.00000000,88082.96000000,1347.90092000,1731661199999,118326835.99755700,210051,731.32744000,64194787.09859240,0
1731661200000,88082.96000000,89350.00000000,88024.40000000,89195.99000000,2296.30230000,1731664799999,204133633.72507900,475869,1308.14825000,116267601.20070900,0
1731664800000,89195.99000000,89458.13000000,88943.53000000,89354.55000000,1429.92991000,1731668399999,127564795.65103800,290834,785.93015000,70115690.14915600,0
1731668400000,89354.54000000,89771.99000000,89138.94000000,89741.25000000,1566.32537000,1731671999999,140100013.92559900,226403,908.97522000,81319082.64895180,0
1731672000000,89741.24000000,90709.74000000,89591.55000000,89753.84000000,2627.03494000,1731675599999,236722584.34555800,472084,1402.64626000,126410198.03815800,0
1731675600000,89753.84000000,90482.30000000,89241.57000000,90148.00000000,1904.87357000,1731679199999,171192792.50652100,435272,1047.95059000,94218244.58771820,0
1731679200000,90148.00000000,90200.00000000,88585.33000000,89107.98000000,3372.88896000,1731682799999,301342871.00050300,685493,1567.89891000,140076612.76669700,0
1731682800000,89107.97000000,89134.74000000,87754.45000000,88445.41000000,3999.02812000,1731686399999,353189813.29673500,746233,2027.05595000,179019324.00656600,0
1731686400000,88445.40000000,89768.41000000,88386.99000000,89375.99000000,2745.84242000,1731689999999,244965452.77507300,503264,1448.07132000,129176715.77715500,0
1731690000000,89376.00000000,89944.00000000,89191.47000000,89484.85000000,1835.70209000,1731693599999,164451697.43079700,325539,964.01489000,86379465.05296060,0
